Area;MajorAxisLength;MinorAxisLength;Eccentricity;ConvexArea;Extent;Perimeter;Class
87524;442.24601139999999;253.291155;0.81973839199999998;90546;0.75865057899999999;1184.04;Kecimen
75166;406.69068700000003;243.0324363;0.80180523400000003;78789;0.68412956999999996;1121.7860000000001;Kecimen
90856;442.2670483;266.32831770000001;0.79835361900000001;93717;0.63761281199999997;1208.575;Kecimen
45928;286.5405586;208.76004230000001;0.68498921700000004;47336;0.69959938499999996;844.16200000000003;Kecimen
79408;352.19076990000002;290.82753289999999;0.56401133000000003;81463;0.79277192600000002;1073.251;Kecimen
49242;318.125407;200.12212;0.77735127699999995;51368;0.65845635400000002;881.83600000000001;Kecimen
42492;310.14607150000001;176.13144940000001;0.82309868100000005;43904;0.66589356200000005;823.79600000000005;Kecimen
60952;332.45547160000001;235.429835;0.70605751800000005;62329;0.74359819000000005;933.36599999999999;Kecimen
42256;323.18960720000001;172.5759261;0.84549878899999997;44743;0.698030924;849.72799999999995;Kecimen
64380;366.96484229999999;227.77161469999999;0.78405562600000001;66125;0.66437571600000001;981.54399999999998;Kecimen
80437;449.45458109999998;232.32550639999999;0.85604251799999997;84460;0.67423575700000005;1176.3050000000001;Kecimen
43725;301.32221759999999;186.95062949999999;0.78425845199999999;45021;0.697068248;818.87300000000005;Kecimen
43441;276.61082879999998;201.81313549999999;0.68388233700000001;45133;0.69085559799999996;803.74800000000005;Kecimen
76792;338.85754539999999;291.35920170000003;0.510583813;78842;0.77232223700000002;1042.77;Kecimen
74167;387.79893070000003;247.85812279999999;0.76908973800000002;76807;0.68018158500000003;1084.729;Kecimen
33565;261.55433110000001;167.70849079999999;0.76737427499999999;35794;0.68155052000000005;751.41300000000001;Kecimen
64670;403.0839752;206.48464369999999;0.85882916799999998;66419;0.75677256999999998;1028.4449999999999;Kecimen
64762;354.29393959999999;235.75246290000001;0.74647372599999995;66713;0.69499801500000002;981.50900000000001;Kecimen
43295;304.2844667;182.81103680000001;0.79940695900000003;44714;0.71383818899999996;814.68;Kecimen
70699;418.69857230000002;216.5960537;0.85579939199999999;72363;0.72807505400000005;1061.3209999999999;Kecimen
69726;354.17691239999999;252.52920800000001;0.701160962;71849;0.73439853399999999;1035.501;Kecimen
57346;330.47843849999998;222.4437485;0.73955502699999998;59365;0.72360883300000001;928.27200000000005;Kecimen
82028;397.11497589999999;268.3337727;0.73716936700000002;84427;0.686375085;1106.355;Kecimen
61251;301.5077895;273.65994139999998;0.41975370699999998;64732;0.64359567100000004;971.76900000000001;Kecimen
